"callret-0"	"c1l"	"c2l"	"c3l"	"c4l"
"What function component Tactical Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Providing Customer-Centered Services"
"What function component Tactical Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Providing Customer-Centered Services"
"What communicates with Data Warehouse System?"	"Medical Documentation System"	"Nursing Management and Documentation System"	"Operation Management System"	"Picture Archiving and Communication System"
"What supports Execution of Lab Examinations?"	"Laboratory Information System"	"Medical Documentation System"	"Outpatient Management System"	"Patient Data Management System"
"What supports Execution of Radiological Procedures?"	"Imaging Modality"	"Magnetic Resonance Imaging"	"Medical Device"	"Nuclear Medicine Imaging"
"What entity type component Finding?"	"Medical Report"	"Microbiology Report"	"Pathology Report"	"Patient State"
"What entity type component Project Initiation Phase?"	"Project"	"Information Management Entity Type"	"Migration Path"	"Project Portfolio"
"What entity type component Recommendations for Further Treatment?"	"Medical Report"	"Microbiology Report"	"Pathology Report"	"Patient Care Entity Type"
"What entity type component Transfer Diagnosis?"	"Administrative Patient Data"	"Patient Care Entity Type"	"Patient Insurance Data"	"Patient’s Relatives"
"What entity type component Patient State?"	"Medical Report"	"Microbiology Report"	"Pathology Report"	"Patient Care Entity Type"
"What entity type component Diagnosis?"	"Medical Report"	"Microbiology Report"	"Pathology Report"	"Patient State"
"What entity type component Project Execution Module?"	"Project"	"Information Management Entity Type"	"Migration Path"	"Project Portfolio"
"What entity type component Nursing Goal?"	"Nursing Care Plan"	"Nursing Problem"	"Nursing Procedure"	"Patient Care Entity Type"
"What function component Planning of Organizational Structures?"	"Operational HIS Planning"	"Operational Information Management"	"Planning of Buildings"	"Planning of Finances"
"What function component Planning of Organizational Procedures?"	"Operational HIS Planning"	"Operational Information Management"	"Planning of Buildings"	"Planning of Rooms"
"What function component Planning of Finances?"	"Operational HIS Planning"	"Operational Information Management"	"Planning of Buildings"	"Planning of Staff"
"What function component Planning of Staff?"	"Operational HIS Planning"	"Operational Information Management"	"Planning of Buildings"	"Planning of Rooms"
"What function component Planning of Organizational Structures?"	"Operational HIS Planning"	"Operational Information Management"	"Planning of Buildings"	"Planning of Staff"
"What function component Planning of Buildings?"	"Operational HIS Planning"	"Operational Information Management"	"Planning of Finances"	"Planning of Staff"
"What function component Planning of Organizational Structures?"	"Operational HIS Planning"	"Operational Information Management"	"Planning of Buildings"	"Planning of Rooms"
"What function component Planning of Finances?"	"Operational HIS Planning"	"Operational Information Management"	"Planning of Buildings"	"Planning of Organizational Procedures"
"What function component Planning of Rooms?"	"Operational HIS Planning"	"Operational Information Management"	"Planning of Buildings"	"Planning of Staff"
"What function component Planning of Buildings?"	"Operational HIS Planning"	"Operational Information Management"	"Planning of Finances"	"Planning of Rooms"
"What function component Planning of Organizational Structures?"	"Operational HIS Planning"	"Operational Information Management"	"Planning of Buildings"	"Planning of Organizational Procedures"
"What increases Transparency?"	"HIS Certification"	"Certification by CCHIT"	"Certification by CCHIT"	"Strategic HIS Monitoring"
"What increases Contextual Integration?"	"CCOW Standard"	"Communication Standard"	"Patient Link"	"Single-Sign-On"
"What increases Data Integration?"	"EDIFACT"	"Communication Standard"	"HL7 Version 2"	"Transinstitutional Health Information System"
"What is based on Metamodel?"	"Model"	"Business Process Model"	"Business Reference Model"	"Technical Model"
"What is based on Network Topology?"	"Network"	"Communication Network"	"Information Management Entity Type"	"Storage Area Network"
"What uses EFQM Excellence Model?"	"HIS Certification"	"Certification by CCHIT"	"Certification by CCHIT"	"Strategic HIS Monitoring"
"What uses HIS Certificate?"	"HIS Certification"	"Certification by CCHIT"	"Certification by CCHIT"	"Strategic HIS Monitoring"
"What uses IT Evaluation Study?"	"IT Evaluation Study Management and Execution"	"Ad Hoc Monitoring"	"Execution of a Quantitative Study"	"Report and Publication of Study"
"What uses Application Component?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Report to the Hospital’s Board of Directors"
"What uses Application Component?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Report to the Hospital’s Board of Directors"
"What uses Application Component?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Risk Management"
"What uses Application Component?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Risk Management"
"What uses Application Component?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Service Asset Management"
"What uses Application Component?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Service Asset Management"
"What uses Application Component?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Service Design"
"What uses Application Component?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Service Design"
"What uses Application Component?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Service Desk Management"
"What uses Application Component?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Service Desk Management"
"What uses Application Component?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Service Operation"
"What uses Application Component?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Service Operation"
"What uses Application Component?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Service Strategy"
"What uses Application Component?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Service Strategy"
"What uses Application Component?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Storage Service"
"What uses Application Component?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Storage Service"
"What uses Application Component?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Strategic HIS Planning"
"What uses Application Component?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Strategic HIS Planning"
"What uses Application Component?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Strategic Information Management"
"What uses Application Component?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Strategic Information Management"
"What uses Application Component?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Tactical HIS Directing"
"What uses Application Component?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Tactical HIS Directing"
"What uses Application Component?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Transaction Management"
"What uses Application Component?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Transaction Management"
"What uses Application Component?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Use of Strategic Information Management Plan"
"What uses Application Component?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Use of Strategic Information Management Plan"
"What uses Architecture of an Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Report to the Hospital’s Board of Directors"
"What uses Architecture of an Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Report to the Hospital’s Board of Directors"
"What uses Architecture of an Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Risk Management"
"What uses Architecture of an Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Risk Management"
"What uses Architecture of an Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Service Design"
"What uses Architecture of an Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Service Design"
"What uses Architecture of an Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Service Desk Management"
"What uses Architecture of an Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Service Desk Management"
"What uses Architecture of an Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Service Operation"
"What uses Architecture of an Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Service Operation"
"What uses Architecture of an Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Service Transition"
"What uses Architecture of an Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Service Transition"
"What uses Architecture of an Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Strategic Alignment"
"What uses Architecture of an Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Strategic Alignment"
"What uses Architecture of an Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Strategic HIS Planning"
"What uses Architecture of an Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Strategic HIS Planning"
"What uses Architecture of an Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Strategic Information Management"
"What uses Architecture of an Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Strategic Information Management"
"What uses Architecture of an Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"System Analysis"
"What uses Architecture of an Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"System Analysis"
"What uses Architecture of an Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"System Introduction"
"What uses Architecture of an Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"System Introduction"
"What uses Architecture of an Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"System Selection"
"What uses Architecture of an Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"System Selection"
"What uses Architecture of an Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"System Specification"
"What uses Architecture of an Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"System Specification"
"What uses Architecture of an Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Tactical HIS Directing"
"What uses Architecture of an Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Tactical HIS Directing"
"What uses Architecture of an Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Tactical Information Management"
"What uses Architecture of an Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Tactical Information Management"
"What uses Architecture of an Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Transaction Management"
"What uses Architecture of an Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Transaction Management"
"What uses Architecture of an Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Use of Strategic Information Management Plan"
"What uses Architecture of an Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Use of Strategic Information Management Plan"
"What uses Architecture of an Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"User Requirements Analysis"
"What uses Architecture of an Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"User Requirements Analysis"
"What uses Architecture of an Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"User Training"
"What uses Architecture of an Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"User Training"
"What uses Cost of Treatment?"	"Controlling"	"Administrative Function"	"Financial Controlling"	"Staff Controlling"
"What uses ISO 9001?"	"HIS Certification"	"Certification by CCHIT"	"Certification by CCHIT"	"Strategic HIS Monitoring"
"What uses Joint Commission’s Certification Program?"	"HIS Certification"	"Certification by CCHIT"	"Certification by CCHIT"	"Strategic HIS Monitoring"
"What uses Key Performance Indicator?"	"Controlling"	"Administrative Function"	"Financial Controlling"	"Staff Controlling"
"What uses Physical Data Processing System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Risk Management"
"What uses Physical Data Processing System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Risk Management"
"What uses Physical Data Processing System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Service Asset Management"
"What uses Physical Data Processing System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Service Asset Management"
"What uses Physical Data Processing System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Service Design"
"What uses Physical Data Processing System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Service Design"
"What uses Physical Data Processing System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Service Operation"
"What uses Physical Data Processing System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Service Operation"
"What uses Physical Data Processing System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Strategic Alignment"
"What uses Physical Data Processing System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Strategic Alignment"
"What uses Physical Data Processing System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Strategic HIS Planning"
"What uses Physical Data Processing System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Strategic HIS Planning"
"What uses Physical Data Processing System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"System Analysis"
"What uses Physical Data Processing System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"System Analysis"
"What uses Physical Data Processing System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"System Evaluation"
"What uses Physical Data Processing System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"System Evaluation"
"What uses Physical Data Processing System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"System Introduction"
"What uses Physical Data Processing System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"System Introduction"
"What uses Physical Data Processing System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Systematic Information Processing"
"What uses Physical Data Processing System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Systematic Information Processing"
"What uses Physical Data Processing System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Tactical HIS Directing"
"What uses Physical Data Processing System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Tactical HIS Directing"
"What uses Physical Data Processing System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Tactical HIS Planning"
"What uses Physical Data Processing System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Tactical HIS Planning"
"What uses Physical Data Processing System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Transaction Management"
"What uses Physical Data Processing System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Transaction Management"
"What uses Physical Data Processing System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Use of Strategic Information Management Plan"
"What uses Physical Data Processing System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Use of Strategic Information Management Plan"
"What updates IT Evaluation Study?"	"IT Evaluation Study Management and Execution"	"Execution of a Quantitative Study"	"Execution of an IT Evaluation Study"	"Study Exploration"
"What updates Hospital Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Service Operation"
"What updates Hospital Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Service Operation"
"What updates Hospital Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Service Strategy"
"What updates Hospital Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Service Strategy"
"What updates Hospital Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Short-Term HIS Planning"
"What updates Hospital Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Short-Term HIS Planning"
"What updates Hospital Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Strategic Alignment"
"What updates Hospital Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Strategic Alignment"
"What updates Hospital Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"System Analysis"
"What updates Hospital Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"System Analysis"
"What updates Hospital Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"System Evaluation"
"What updates Hospital Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"System Evaluation"
"What updates Hospital Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"System Selection"
"What updates Hospital Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"System Selection"
"What updates Hospital Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"System Specification"
"What updates Hospital Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"System Specification"
"What updates Hospital Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Tactical HIS Directing"
"What updates Hospital Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Tactical HIS Directing"
"What updates Hospital Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Updating the Strategic Information Management Plan"
"What updates Hospital Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Updating the Strategic Information Management Plan"
"What updates Hospital Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"User Training"
"What updates Hospital Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"User Training"
"What updates Key Performance Indicator?"	"Controlling"	"Administrative Function"	"Financial Controlling"	"Staff Controlling"
"What is responsible for  Discharge Summary?"	"Physician"	"Surgeon"	"Health Care Professional"	"Senior Physician"
"What is responsible for  Discharge Summary?"	"Physician"	"Health Care Professional"	"Health Care Professional"	"Ward Physician"
"What is responsible for  Medical Procedure?"	"Physician"	"Health Care Professional"	"Health Care Professional"	"Ward Physician"
"What is responsible for  Medical Admission?"	"Physician"	"Health Care Professional"	"Health Care Professional"	"Ward Physician"
"What is responsible for  Medical and Nursing Care Planning?"	"Physician"	"Surgeon"	"Health Care Professional"	"Senior Physician"
"What is responsible for  Medical and Nursing Care Planning?"	"Physician"	"Health Care Professional"	"Health Care Professional"	"Ward Physician"
"What entity type component IHE Actor?"	"IHE Integration Profile"	"IHE Patient Demographics Query"	"Cross-Enterprise Document Sharing"	"Reference Model"
"What entity type component 3LGM² Domain Layer?"	"3LGM²"	"3LGM²-B"	"3LGM²-B"	"Technical Metamodel"
"What entity type component Evaluation Method?"	"Study"	"Clinical Trial"	"Field Study"	"Research and Education Entity Type"
"What entity type component Evaluation Method?"	"Study"	"Clinical Trial"	"Field Study"	"Study Objective"
"What function component Continual Service Improvement?"	"ITIL Service Lifecycle"	"Information Management"	"Service Design"	"Service Strategy"
"What function component Continual Service Improvement?"	"ITIL Service Lifecycle"	"Information Management Function"	"Service Design"	"Service Strategy"
"What function component Execution of an IT Evaluation Study?"	"IT Evaluation Study Management and Execution"	"Ad Hoc Monitoring"	"Execution of a Quantitative Study"	"Report and Publication of Study"
"What function component Execution of an IT Evaluation Study?"	"IT Evaluation Study Management and Execution"	"Ad Hoc Monitoring"	"Execution of a Quantitative Study"	"Study Exploration"
"What function component Operational Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Report to the Hospital’s Board of Directors"
"What function component Operational Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Report to the Hospital’s Board of Directors"
"What function component Operational Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Risk Management"
"What function component Operational Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Risk Management"
"What function component Operational Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Service Design"
"What function component Operational Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Service Design"
"What function component Operational Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Service Desk Management"
"What function component Operational Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Service Desk Management"
"What function component Operational Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Service Operation"
"What function component Operational Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Service Operation"
"What function component Operational Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Service Strategy"
"What function component Operational Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Service Strategy"
"What function component Operational Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Service Transition"
"What function component Operational Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Service Transition"
"What function component Operational Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Short-Term HIS Planning"
"What function component Operational Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Short-Term HIS Planning"
"What function component Operational Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Strategic Alignment"
"What function component Operational Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Strategic Alignment"
"What function component Operational Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Strategic HIS Directing"
"What function component Operational Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Strategic HIS Directing"
"What function component Operational Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"System Evaluation"
"What function component Operational Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"System Evaluation"
"What function component Operational Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"System Introduction"
"What function component Operational Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"System Introduction"
"What function component Operational Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"System Selection"
"What function component Operational Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"System Selection"
"What function component Operational Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"System Specification"
"What function component Operational Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"System Specification"
"What function component Operational Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Systematic Information Processing"
"What function component Operational Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Systematic Information Processing"
"What function component Operational Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Tactical HIS Directing"
"What function component Operational Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Tactical HIS Directing"
"What function component Operational Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Tactical HIS Monitoring"
"What function component Operational Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Tactical HIS Monitoring"
"What function component Operational Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Trouble Shooting"
"What function component Operational Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Trouble Shooting"
"What function component Operationalization of Methods and Detailed Study Plan?"	"IT Evaluation Study Management and Execution"	"Ad Hoc Monitoring"	"Execution of a Quantitative Study"	"Report and Publication of Study"
"What function component Patient Discharge and Transfer to Other Institutions?"	"Patient Care"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Report Writing"
"What function component Patient Discharge and Transfer to Other Institutions?"	"Patient Care Function"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Report Writing"
"What role component Patient?"	"Hospital"	"Health Care Institution"	"Health Care Institution"	"University Medical Center"
"What is involved in Project Management Board?"	"Vendor"	"HIS Stakeholder"	"Hardware Vendor"	"Software Vendor"
"What uses Physical Data Processing System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"User Training"
"What uses Physical Data Processing System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"User Training"
"What uses Therapeutic Procedure?"	"Controlling"	"Administrative Function"	"Financial Controlling"	"Staff Controlling"
"What is responsible for  Software Development?"	"Vendor"	"Hardware Vendor"	"Hardware Vendor"	"Software Vendor"
"What entity type component Study Objective?"	"Study"	"Clinical Trial"	"Evaluation Method"	"Study Participant"
"What entity type component Study Participant?"	"Study"	"Clinical Trial"	"Evaluation Method"	"Study Objective"
"What function component Report and Publication of Study?"	"IT Evaluation Study Management and Execution"	"Ad Hoc Monitoring"	"Execution of a Quantitative Study"	"Study Exploration"
"What function component Service Design?"	"ITIL Service Lifecycle"	"Information Management"	"Continual Service Improvement"	"Service Operation"
"What function component Service Design?"	"ITIL Service Lifecycle"	"Information Management Function"	"Continual Service Improvement"	"Service Operation"
"What function component Service Design?"	"ITIL Service Lifecycle"	"Continual Service Improvement"	"Continual Service Improvement"	"Service Strategy"
"What function component Service Operation?"	"ITIL Service Lifecycle"	"Continual Service Improvement"	"Continual Service Improvement"	"Service Strategy"
"What function component Service Strategy?"	"ITIL Service Lifecycle"	"Continual Service Improvement"	"Continual Service Improvement"	"Service Operation"
"What function component Service Strategy?"	"ITIL Service Lifecycle"	"Continual Service Improvement"	"Continual Service Improvement"	"Service Transition"
"What function component Service Transition?"	"ITIL Service Lifecycle"	"Information Management"	"Continual Service Improvement"	"Service Design"
"What function component Service Transition?"	"ITIL Service Lifecycle"	"Information Management Function"	"Continual Service Improvement"	"Service Design"
"What function component Strategic Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Report to the Hospital’s Board of Directors"
"What function component Strategic Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Report to the Hospital’s Board of Directors"
"What function component Strategic Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Service Design"
"What function component Strategic Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Service Design"
"What function component Strategic Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Service Strategy"
"What function component Strategic Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Service Strategy"
"What function component Strategic Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Software Development"
"What function component Strategic Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Software Development"
"What function component Strategic Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Strategic HIS Directing"
"What function component Strategic Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Strategic HIS Directing"
"What function component Strategic Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"System Introduction"
"What function component Strategic Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"System Introduction"
"What function component Strategic Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"System Specification"
"What function component Strategic Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"System Specification"
"What function component Strategic Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Systematic Information Processing"
"What function component Strategic Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Systematic Information Processing"
"What function component Strategic Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Tactical HIS Planning"
"What function component Strategic Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Tactical HIS Planning"
"What function component Strategic Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Updating the Strategic Information Management Plan"
"What function component Strategic Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Updating the Strategic Information Management Plan"
"What function component Strategic Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"User Training"
"What function component Strategic Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"User Training"
"What function component Study Exploration?"	"IT Evaluation Study Management and Execution"	"Ad Hoc Monitoring"	"Execution of a Quantitative Study"	"Report and Publication of Study"
"What function component Tactical Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Risk Management"
"What function component Tactical Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Risk Management"
"What function component Tactical Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Service Operation"
"What function component Tactical Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Service Operation"
